protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score,mutual_pathways,n_mutual,pair
APOE,P02649,APOA2,P02652,-1,-1,-0.887188719,6.47285699091475e-13,3.83106215408248e-09,0.654602739,3.54750626994215e-52,0.004205781,0.037282633,999,422,57,TRUE,TRUE,REACTOME_CHYLOMICRON_ASSEMBLY|REACTOME_CHYLOMICRON_REMODELING|REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS|REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_REMODELING|REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION|REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS|REACTOME_SENSORY_PERCEPTION|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|REACTOME_VISUAL_PHOTOTRANSDUCTION|WP_CHOLESTEROL_METABOLISM|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3|WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES|WP_LIPID_PARTICLES_COMPOSITION|WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES|WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,18,APOE ~ APOA2
GSTA1,P08263,GSTA3,Q16772,1,0.99679968,1,3.10162354285889e-65,4.54176823752968e-60,0.037073361,2.69923898593871e-58,0.035618569,4.71474968810398e-60,947,743,0,TRUE,TRUE,KEGG_DRUG_METABOLISM_CYTOCHROME_P450|KEGG_GLUTATHIONE_METABOLISM|KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450|KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS|KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY|REACTOME_BIOLOGICAL_OXIDATIONS|REACTOME_CELLULAR_RESPONSES_TO_STIMULI|REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS|REACTOME_GLUTATHIONE_CONJUGATION|REACTOME_KEAP1_NFE2L2_PATHWAY|REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES|REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2|REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS|WP_CANCER_PATHWAYS|WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II|WP_NRF2_PATHWAY|WP_NUCLEAR_RECEPTORS_METAPATHWAY,18,GSTA1 ~ GSTA3
GSTA3,Q16772,GSTA1,P08263,1,0.99659966,1,1.95723257226901e-64,2.5794126677916e-59,0.036110495,1.86702908163269e-60,0.038680259,1.33705908881551e-58,947,743,0,TRUE,TRUE,KEGG_DRUG_METABOLISM_CYTOCHROME_P450|KEGG_GLUTATHIONE_METABOLISM|KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450|KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS|KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY|REACTOME_BIOLOGICAL_OXIDATIONS|REACTOME_CELLULAR_RESPONSES_TO_STIMULI|REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS|REACTOME_GLUTATHIONE_CONJUGATION|REACTOME_KEAP1_NFE2L2_PATHWAY|REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES|REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2|REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS|WP_CANCER_PATHWAYS|WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II|WP_NRF2_PATHWAY|WP_NUCLEAR_RECEPTORS_METAPATHWAY,18,GSTA3 ~ GSTA1
MBL2,P11226,MASP1,P48740,0.9779978,0.916391639,1,1.31073637723324e-22,2.64398465174545e-18,1,0,0.009626606,4.76063469423957e-11,998,892,46,TRUE,TRUE,BIOCARTA_COMP_PATHWAY|BIOCARTA_LECTIN_PATHWAY|KEGG_COMPLEMENT_AND_COAGULATION_CASCADES|KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN|KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION|REACTOME_COMPLEMENT_CASCADE|REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS|REACTOME_INFECTIOUS_DISEASE|REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT|REACTOME_INNATE_IMMUNE_SYSTEM|REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION|REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES|REACTOME_SARS_COV_2_HOST_INTERACTIONS|REACTOME_SARS_COV_2_INFECTION|REACTOME_SARS_COV_INFECTIONS|REACTOME_VIRAL_INFECTION_PATHWAYS|WP_COMPLEMENT_SYSTEM|WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,18,MBL2 ~ MASP1
C1R,P00736,C1S,P09871,0.934393439,0.906190619,0.95419542,5.16102237875187e-51,4.34147728107304e-46,0.051277522,1.99211071490996e-51,0.066186051,1.35219648276592e-79,999,983,0,TRUE,TRUE,BIOCARTA_CLASSIC_PATHWAY|BIOCARTA_COMP_PATHWAY|KEGG_COMPLEMENT_AND_COAGULATION_CASCADES|KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS|KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE|KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION|KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH|REACTOME_COMPLEMENT_CASCADE|REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS|REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT|REACTOME_INNATE_IMMUNE_SYSTEM|WP_COMPLEMENT_ACTIVATION|WP_COMPLEMENT_AND_COAGULATION_CASCADES|WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY|WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES|WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING|WP_OXIDATIVE_DAMAGE_RESPONSE,17,C1R ~ C1S
C1S,P09871,C1R,P00736,0.938193819,0.910791079,0.95739574,1.14763552759628e-51,1.03121911885066e-46,0.066025443,2.76203987054863e-80,0.05013668,2.12855332298558e-51,999,983,0,TRUE,TRUE,BIOCARTA_CLASSIC_PATHWAY|BIOCARTA_COMP_PATHWAY|KEGG_COMPLEMENT_AND_COAGULATION_CASCADES|KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS|KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE|KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION|KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH|REACTOME_COMPLEMENT_CASCADE|REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS|REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT|REACTOME_INNATE_IMMUNE_SYSTEM|WP_COMPLEMENT_ACTIVATION|WP_COMPLEMENT_AND_COAGULATION_CASCADES|WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY|WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES|WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING|WP_OXIDATIVE_DAMAGE_RESPONSE,17,C1S ~ C1R
APOE,P02649,LDLR,P01130,0.464546455,0.346134613,0.562356236,1.38773983236652e-07,0.000187706,0.654602739,3.54750626994215e-52,0.060691412,7.85300686507109e-25,839,617,0,TRUE,TRUE,REACTOME_CHYLOMICRON_CLEARANCE|REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS|REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE|REACTOME_SENSORY_PERCEPTION|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|REACTOME_VESICLE_MEDIATED_TRANSPORT|REACTOME_VISUAL_PHOTOTRANSDUCTION|WP_CHOLESTEROL_METABOLISM|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3|WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES|WP_LIPID_PARTICLES_COMPOSITION|WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES|WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION|WP_VITAMIN_B12_METABOLISM,16,APOE ~ LDLR
NTRK3,Q16288,NTF3,P20783,-0.816181618,-0.918391839,-0.660766077,8.01563742305559e-11,2.8397069086873e-07,0.040322492,7.1934504718897e-46,0.007999429,2.26122114213241e-08,999,510,0,TRUE,TRUE,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY|PID_SHP2_PATHWAY|PID_TRKR_PATHWAY|REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K|REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS|REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS|REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK|REACTOME_PI3K_AKT_SIGNALING_IN_CANCER|REACTOME_SIGNALING_BY_NTRK3_TRKC|REACTOME_SIGNALING_BY_NTRKS|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING,14,NTRK3 ~ NTF3
TF,P02787,TFRC,P02786,-0.887388739,-0.99719972,-0.679967997,1.12517099496774e-07,0.000157304,0.073632424,8.6161694710351e-50,0.002185227,3.28618905819955e-06,999,986,0,TRUE,TRUE,BIOCARTA_EEA1_PATHWAY|KEGG_MEDICUS_REFERENCE_FE_TF_TRANSPORT|PID_HIF1_TFPATHWAY|REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS|REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS|REACTOME_IRON_UPTAKE_AND_TRANSPORT|REACTOME_MEMBRANE_TRAFFICKING|REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|REACTOME_VESICLE_MEDIATED_TRANSPORT|WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME|WP_FERROPTOSIS|WP_IRON_METABOLISM_DISORDERS|WP_IRON_METABOLISM_IN_PLACENTA,14,TF ~ TFRC
AKT2,P31751,PTPN6,P29350,0.873387339,0.706770677,0.96539654,4.62191999749909e-08,7.30217142276535e-05,0.00068936,0.062754427,0.000887903,0.048195268,186,0,97,TRUE,TRUE,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY|KEGG_JAK_STAT_SIGNALING_PATHWAY|KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY|REACTOME_ADAPTIVE_IMMUNE_SYSTEM|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_INFECTIOUS_DISEASE|REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY|REACTOME_SARS_COV_2_HOST_INTERACTIONS|REACTOME_SARS_COV_2_INFECTION|REACTOME_SARS_COV_INFECTIONS|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|REACTOME_VIRAL_INFECTION_PATHWAYS,13,AKT2 ~ PTPN6
F12,P00748,KLKB1,P03952,-1,-1,-0.919191919,9.55767539796782e-15,8.23264217580733e-11,0.595724941,1.88040071249397e-144,0.003057642,0.003860436,972,0,94,TRUE,TRUE,BIOCARTA_INTRINSIC_PATHWAY|KEGG_COMPLEMENT_AND_COAGULATION_CASCADES|REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS|REACTOME_DISEASES_OF_HEMOSTASIS|REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE|REACTOME_HEMOSTASIS|REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION|WP_BLOOD_CLOTTING_CASCADE|WP_COMPLEMENT_AND_COAGULATION_CASCADES|WP_COMPLEMENT_SYSTEM|WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES|WP_KININKALLIKREIN_PATHWAY|WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19,13,F12 ~ KLKB1
SFTPA1,Q8IWL2,SFTPA2,Q8IWL1,0.843584358,0.777977798,0.890989099,1.00987590987111e-26,2.91438614558301e-22,0.030908117,8.82867294652634e-24,0.284680786,4.49185396886654e-60,956,0,0,TRUE,FALSE,PID_HNF3A_PATHWAY|REACTOME_CELL_CELL_COMMUNICATION|REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5|REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM|REACTOME_DISEASES_OF_METABOLISM|REACTOME_INNATE_IMMUNE_SYSTEM|REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND|REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS|REACTOME_SURFACTANT_METABOLISM|REACTOME_TOLL_LIKE_RECEPTOR_CASCADES|REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE|WP_COMPLEMENT_SYSTEM|WP_LUNG_FIBROSIS,13,SFTPA1 ~ SFTPA2
SFTPA2,Q8IWL1,SFTPA1,Q8IWL2,0.840184018,0.771977198,0.888988899,1.8060360628985e-25,4.57721664009454e-21,0.275846841,1.37966992686404e-58,0.029576984,2.02316290478999e-22,956,0,0,TRUE,FALSE,PID_HNF3A_PATHWAY|REACTOME_CELL_CELL_COMMUNICATION|REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5|REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM|REACTOME_DISEASES_OF_METABOLISM|REACTOME_INNATE_IMMUNE_SYSTEM|REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND|REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS|REACTOME_SURFACTANT_METABOLISM|REACTOME_TOLL_LIKE_RECEPTOR_CASCADES|REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE|WP_COMPLEMENT_SYSTEM|WP_LUNG_FIBROSIS,13,SFTPA2 ~ SFTPA1
IL10RA,Q13651,IL10,P22301,1,0.914991499,1,6.89964872344459e-13,4.06540773038452e-09,0.006704399,9.43563487197018e-05,0.020252887,1.60819248880827e-17,999,988,0,TRUE,TRUE,BIOCARTA_IL10_PATHWAY|KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION|KEGG_JAK_STAT_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_IL10_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_INTERLEUKIN_10_SIGNALING|REACTOME_SIGNALING_BY_ALK_IN_CANCER|REACTOME_SIGNALING_BY_INTERLEUKINS|WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION|WP_IL10_ANTIINFLAMMATORY_SIGNALING|WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,12,IL10RA ~ IL10
PLTP,P55058,LCAT,P04180,-0.910191019,-1,-0.699969997,2.34405323402853e-08,4.08984842957146e-05,0.126168134,1.73809724933741e-46,0.001559465,0.000241655,950,0,0,TRUE,FALSE,REACTOME_HDL_REMODELING|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_REMODELING|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|WP_CHOLESTEROL_METABOLISM|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5|WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES|WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,12,PLTP ~ LCAT
TNFRSF11B,O00300,TNFSF11,O14788,-0.816981698,-0.879587959,-0.723772377,9.89660657102926e-16,1.00844967075864e-11,0.041019553,4.31408861563007e-26,0.027567713,2.61267751676645e-27,999,960,113,TRUE,TRUE,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY|REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS|WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM|WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION|WP_IL18_SIGNALING|WP_OSTEOBLAST_SIGNALING|WP_OSTEOCLAST_SIGNALING|WP_RANKLRANK_SIGNALING|WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA|WP_VITAMIN_D_RECEPTOR_PATHWAY,12,TNFRSF11B ~ TNFSF11
PDGFB,P01127,EREG,O14944,1,0.869586959,1,3.03568345768829e-07,0.000367936,0.000890096,0.00533718,0.001013709,0.012193739,183,0,0,TRUE,FALSE,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY|REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS|REACTOME_MAPK1_MAPK3_SIGNALING|REACTOME_MAPK_FAMILY_SIGNALING_CASCADES|REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK|REACTOME_PI3K_AKT_SIGNALING_IN_CANCER|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,11,PDGFB ~ EREG
IL1RN,P18510,IL1R1,P14778,-0.9779978,-1,-0.918591859,2.51591289518712e-17,3.39077697506753e-13,0.03550745,1.36771940659229e-37,0.01701458,1.45694553919976e-29,999,958,0,TRUE,TRUE,BIOCARTA_IL1R_PATHWAY|PID_IL1_PATHWAY|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_INTERLEUKIN_10_SIGNALING|REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING|REACTOME_INTERLEUKIN_1_SIGNALING|REACTOME_SIGNALING_BY_INTERLEUKINS|WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME|WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION|WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,10,IL1RN ~ IL1R1
