protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score
PCBP2,Q15366,PDCD5,O14737,1,0.891789179,1,1.27617731048926e-08,2.41530637334652e-05,0.001142207,0.037212523,0.001341271,0.011126389,206,0,91,TRUE,TRUE
PCBP2,Q15366,PPIB,P23284,1,0.938393839,1,2.09135005358927e-11,8.56838686727866e-08,0.001142207,0.037212523,0.001124902,0.038254709,275,208,60,TRUE,TRUE
PCBP2,Q15366,PRKRA,O75569,1,0.823182318,1,1.3130594613075e-07,0.000179323,0.001142207,0.037212523,0.002625643,0.000476518,151,0,63,TRUE,TRUE
PCBP2,Q15366,RBPMS2,Q6ZRY4,1,0.869186919,1,8.27293836514432e-08,0.000120517,0.001142207,0.037212523,0.002279897,0.003194534,161,0,113,TRUE,TRUE
PCBP2,Q15366,STAMBP,O95630,0.9579958,0.775777578,1,3.87051567781155e-07,0.000452743,0.001142207,0.037212523,0.000993749,0.093436114,195,0,87,TRUE,TRUE
PCBP2,Q15366,STAT2,P52630,1,0.888388839,1,3.32719256572318e-09,7.48270656483208e-06,0.001142207,0.037212523,0.001490038,0,471,0,70,TRUE,TRUE
PCBP2,Q15366,STIP1,P31948,1,0.871787179,1,4.67169727378029e-09,1.00491385519837e-05,0.001142207,0.037212523,0.001519131,0.010919283,500,186,57,TRUE,TRUE
PCBP2,Q15366,TIA1,P31483,0.98819882,0.837983798,1,2.37189417644138e-08,4.12749570656328e-05,0.001142207,0.037212523,0.001119058,0.081686848,904,217,94,TRUE,TRUE
PCBP2,Q15366,USP25,Q9UHP3,0.921192119,0.759975998,0.99859986,1.65649458812498e-07,0.000218453,0.001142207,0.037212523,0.001206293,0.026358898,241,0,71,TRUE,TRUE
PCBP2,Q15366,USP8,P40818,1,0.947594759,1,2.15024668945722e-13,1.39824848305584e-09,0.001142207,0.037212523,0.001097056,0.074363135,208,0,74,TRUE,TRUE
PCBP2,Q15366,YARS1,P54577,0.99339934,0.836183618,1,2.42378593471873e-08,4.20299682895521e-05,0.001142207,0.037212523,0.000939512,0.12774469,192,0,103,TRUE,TRUE
PDIA5,Q14554,GP5,P40197,0.97939794,0.898589859,1,1.72771473218969e-17,2.40521190535679e-13,0.03203634,7.26842575489995e-39,0.007087014,3.24588315894252e-15,159,0,98,TRUE,TRUE
PDIA5,Q14554,MYDGF,Q969H8,0.924792479,0.685968597,1,1.249185675573e-07,0.000171917,0.03203634,7.26842575489995e-39,0.001682721,0.002210355,376,170,0,TRUE,TRUE
PDIA5,Q14554,PDIA4,P13667,0.889188919,0.678967897,1,2.25385351830163e-08,3.94640268499954e-05,0.03203634,7.26842575489995e-39,0.002283496,1.80589086204519e-05,570,209,121,TRUE,TRUE
PDIA5,Q14554,PPIB,P23284,0.875987599,0.657165717,1,6.76355262180835e-08,0.000101176,0.03203634,7.26842575489995e-39,0.002185531,0.000147379,336,0,95,TRUE,TRUE
PILRA,Q9UKJ1,PILRB,Q9UKJ0,0.99979998,0.99959996,1,2.18490647706149e-99,7.85307626983486e-94,0.51338208,1.13871122056755e-129,0.669738117,1.86634353888188e-173,978,487,0,TRUE,TRUE
PILRB,Q9UKJ0,PILRA,Q9UKJ1,0.99979998,0.99959996,1,1.56772917863374e-98,4.76790219044971e-93,0.671016434,4.65242885740449e-174,0.522429485,2.74571628400292e-130,978,487,0,TRUE,TRUE
PRG2,P13727,PAPPA,Q13219,0.825382538,0.673567357,0.919191919,7.66054714865421e-09,1.55638344405908e-05,0.01196673,2.17223863812593e-06,0.060994522,3.46528568906483e-18,999,960,0,TRUE,TRUE
PROCR,Q9UNN8,PROC,P04070,0.922992299,0.847984798,0.96159616,1.84008421828285e-11,7.6258625688772e-08,0.070767141,0,0.086604747,6.21780383370018e-34,996,926,0,TRUE,TRUE
PSAP,P07602,GRN,P28799,-0.589758976,-0.713171317,-0.433743374,1.56963886384952e-07,0.00020895,0.037767376,6.84674266349748e-53,0.065706567,1.42957655888251e-43,856,429,53,TRUE,TRUE
PSME1,Q06323,PSME2,Q9UL46,1,0.96039604,1,8.46676805368621e-23,1.74347643663756e-18,0.002994498,0.00027803,0.004136695,6.61580751261524e-07,999,987,246,TRUE,TRUE
PSME2,Q9UL46,PSME1,Q06323,1,0.96139614,1,1.22826908459202e-22,2.50317630608008e-18,0.004109426,9.49690325875763e-07,0.002918968,0.000426073,999,987,246,TRUE,TRUE
PSMG4,Q5JS54,PSMG3,Q9BT73,1,0.99339934,1,4.95626867992912e-53,4.66557526140348e-48,0.011121487,2.32382846312891e-36,0.012029907,1.81092733216507e-37,999,626,125,TRUE,TRUE
REG1A,P05451,REG1B,P48304,0.838183818,0.799779978,0.868586859,1.26989582498941e-44,8.36790022852517e-40,0.076917681,3.08645297661772e-27,0.082653029,2.11849343740696e-49,977,778,0,TRUE,TRUE
REG1B,P48304,REG1A,P05451,0.837983798,0.799979998,0.868186819,1.02256485006335e-44,6.85233358101018e-40,0.083454551,0,0.077787548,2.82275086708353e-27,977,778,0,TRUE,TRUE
RWDD1,Q9H446,DRG2,P55039,1,0.909590959,1,8.25493229739578e-10,2.22931833276767e-06,0.00077686,0.174704151,0.001416968,0.005951495,999,874,950,TRUE,TRUE
S100A14,Q9HCY8,S100A16,Q96FQ6,1,0.95159516,1,2.26257411329582e-15,2.1871532231283e-11,0.014432378,7.71592932232202e-21,0.006154276,1.97056313309155e-12,970,730,0,TRUE,TRUE
S100A16,Q96FQ6,S100A14,Q9HCY8,1,0.95159516,1,2.26257439812011e-15,2.1871532231283e-11,0.006154276,1.97056313309178e-12,0.014432378,7.71592932232157e-21,970,730,0,TRUE,TRUE
SCARA5,Q6ZMJ2,MATN2,O00339,-0.760376038,-0.831783178,-0.662366237,4.27717194518938e-17,5.5444250702732e-13,0.074677706,8.12251534335662e-49,0.070384354,1.33400684410747e-33,198,0,107,TRUE,TRUE
SERPINA1,P01009,CTRL,P40313,0.899189919,0.811181118,0.95679568,1.23682094953195e-18,1.88802055049782e-14,0.018736113,3.69090040021732e-16,0.026498347,1.55314849269277e-12,627,165,45,TRUE,TRUE
SERPINA1,P01009,KLK4,Q9Y5K2,0.911991199,0.811581158,0.97579758,2.14142302125327e-16,2.45404781637022e-12,0.018736113,3.69090040021732e-16,0.011165718,1.07953073339465e-09,639,167,45,TRUE,TRUE
SERPINA1,P01009,MST1,P26927,-1,-1,-0.800980098,4.2933859128992e-09,9.3627143014621e-06,0.018736113,3.69090040021732e-16,0.002196467,0.010745872,218,0,45,TRUE,TRUE
SERPINA3,P01011,CTSL,P07711,1,0.923992399,1,4.36910117987534e-19,6.8770909750393e-15,0.081962482,1.9568704609156e-49,0.003981475,2.5222492916472e-06,241,0,54,TRUE,TRUE
SETMAR,Q53H47,SUMF1,Q8NBK3,0.796979698,0.630763076,0.905990599,2.73605573444578e-10,8.45773442002821e-07,0.028209249,6.39237590639503e-44,0.005805671,3.2981437986804e-12,636,0,106,TRUE,TRUE
SIGLEC1,Q9BZZ2,SSC5D,A1L4H1,-0.795979598,-0.895789579,-0.647364736,5.41758873668699e-10,1.53047754138355e-06,0.029458085,0.000829037,0.030493534,1.06394134628806e-19,178,0,126,TRUE,TRUE
SLMAP,Q14BN4,ATXN2L,Q8WWM7,0.940394039,0.789978998,1,4.58645824581016e-08,7.26203855326574e-05,0.004079363,1.80814214079254e-06,0.002310639,0.004580783,222,192,55,TRUE,TRUE
SLMAP,Q14BN4,CDC42BPB,Q9Y5S2,0.908390839,0.825582558,0.95439544,1.50654788497952e-13,1.03051602605048e-09,0.004079363,1.80814214079254e-06,0.003371006,0.000790356,159,0,102,TRUE,TRUE
SLMAP,Q14BN4,CDKN2D,P55273,0.943994399,0.844184418,0.98839884,4.50090816232511e-11,1.71403370957769e-07,0.004079363,1.80814214079254e-06,0.007373723,7.04789465986754e-06,178,0,99,TRUE,TRUE
SLMAP,Q14BN4,ENO1,P06733,0.97179718,0.828182818,1,6.99140532768418e-08,0.000103994,0.004079363,1.80814214079254e-06,0.002174932,0.013526293,154,0,113,TRUE,TRUE
SLMAP,Q14BN4,ENO2,P09104,0.99239924,0.832183218,1,3.0277097455717e-07,0.000367195,0.004079363,1.80814214079254e-06,0.00166166,0.07099399,153,0,113,TRUE,TRUE
SLMAP,Q14BN4,F2R,P25116,0.97219722,0.884188419,1,1.27016119324949e-11,5.49429903040084e-08,0.004079363,1.80814214079254e-06,0.006101257,1.13377328073999e-06,155,0,95,TRUE,TRUE
SLMAP,Q14BN4,FKBP1B,P68106,0.99459946,0.882388239,1,2.74533758603347e-09,6.32894439440807e-06,0.004079363,1.80814214079254e-06,0.003009483,0.002927284,153,0,59,TRUE,TRUE
SLMAP,Q14BN4,GIGYF2,Q6Y7W6,0.947994799,0.838383838,0.9959996,3.20332278788167e-10,9.68261374885673e-07,0.004079363,1.80814214079254e-06,0.002377736,0.004476128,183,0,46,TRUE,TRUE
